id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date,price
7129300520,3.0,1.0,1180.0,5650.0,1.0,,0.0,3,7,1180.0,0.0,1955,0.0,98178,47.5112,-122.257,1340.0,5650.0,2014-10-13,221900.0
6414100192,3.0,2.25,2570.0,7242.0,2.0,0.0,0.0,3,7,2170.0,400.0,1951,19910.0,98125,47.721,-122.319,1690.0,7639.0,2014-12-09,538000.0
5631500400,2.0,1.0,770.0,10000.0,1.0,0.0,0.0,3,6,770.0,0.0,1933,,98028,47.7379,-122.233,2720.0,8062.0,2015-02-25,180000.0
2487200875,4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,5,7,1050.0,910.0,1965,0.0,98136,47.5208,-122.393,1360.0,5000.0,2014-12-09,604000.0
1954400510,3.0,2.0,1680.0,8080.0,1.0,0.0,0.0,3,8,1680.0,0.0,1987,0.0,98074,47.6168,-122.045,1800.0,7503.0,2015-02-18,510000.0
7237550310,4.0,4.5,5420.0,101930.0,1.0,0.0,0.0,3,11,3890.0,1530.0,2001,0.0,98053,47.6561,-122.005,4760.0,101930.0,2014-05-12,1230000.0
1321400060,3.0,2.25,1715.0,6819.0,2.0,0.0,0.0,3,7,1715.0,,1995,0.0,98003,47.3097,-122.327,2238.0,6819.0,2014-06-27,257500.0
2008000270,3.0,1.5,1060.0,9711.0,1.0,0.0,,3,7,1060.0,0.0,1963,0.0,98198,47.4095,-122.315,1650.0,9711.0,2015-01-15,291850.0
2414600126,3.0,1.0,1780.0,7470.0,1.0,0.0,0.0,3,7,1050.0,730.0,1960,0.0,98146,47.5123,-122.337,1780.0,8113.0,2015-04-15,229500.0
3793500160,3.0,2.5,1890.0,6560.0,2.0,0.0,0.0,3,7,1890.0,0.0,2003,0.0,98038,47.3684,-122.031,2390.0,7570.0,2015-03-12,323000.0
1736800520,3.0,2.5,3560.0,9796.0,1.0,,0.0,3,8,1860.0,1700.0,1965,0.0,98007,47.6007,-122.145,2210.0,8925.0,2015-04-03,662500.0
9212900260,2.0,1.0,1160.0,6000.0,1.0,0.0,0.0,4,7,860.0,300.0,1942,0.0,98115,47.69,-122.292,1330.0,6000.0,2014-05-27,468000.0
114101516,3.0,1.0,1430.0,19901.0,1.5,0.0,0.0,4,7,1430.0,0.0,1927,,98028,47.7558,-122.229,1780.0,12697.0,2014-05-28,310000.0
6054650070,3.0,1.75,1370.0,9680.0,1.0,0.0,0.0,4,7,1370.0,0.0,1977,0.0,98074,47.6127,-122.045,1370.0,10208.0,2014-10-07,400000.0
1175000570,5.0,2.0,1810.0,4850.0,1.5,0.0,0.0,3,7,1810.0,0.0,1900,0.0,98107,47.67,-122.394,1360.0,4850.0,2015-03-12,530000.0
9297300055,4.0,3.0,2950.0,5000.0,2.0,0.0,3.0,3,9,1980.0,970.0,1979,0.0,98126,47.5714,-122.375,2140.0,4000.0,2015-01-24,650000.0
1875500060,3.0,2.0,1890.0,14040.0,2.0,0.0,0.0,3,7,1890.0,0.0,1994,0.0,98019,47.7277,-121.962,1890.0,14018.0,2014-07-31,395000.0
6865200140,4.0,1.0,1600.0,4300.0,1.5,0.0,0.0,4,7,1600.0,0.0,1916,0.0,98103,47.6648,-122.343,1610.0,4300.0,2014-05-29,485000.0
16000397,2.0,1.0,1200.0,9850.0,1.0,0.0,0.0,4,7,1200.0,,1921,0.0,98002,47.3089,-122.21,1060.0,5095.0,2014-12-05,189000.0
7983200060,3.0,1.0,1250.0,9774.0,1.0,0.0,0.0,4,7,1250.0,0.0,1969,0.0,98003,47.3343,-122.306,1280.0,8850.0,2015-04-24,230000.0
6300500875,4.0,1.75,1620.0,4980.0,1.0,0.0,0.0,4,7,860.0,760.0,1947,0.0,98133,47.7025,-122.341,1400.0,4980.0,2014-05-14,385000.0
2524049179,3.0,2.75,3050.0,44867.0,1.0,0.0,4.0,3,9,2330.0,720.0,1968,0.0,98040,47.5316,-122.233,4110.0,20336.0,2014-08-26,2000000.0
7137970340,5.0,2.5,2270.0,6300.0,2.0,0.0,0.0,3,8,2270.0,0.0,1995,0.0,98092,47.3266,-122.169,2240.0,7005.0,2014-07-03,285000.0
8091400200,2.0,1.5,1070.0,9643.0,1.0,,0.0,3,7,1070.0,0.0,1985,,98030,47.3533,-122.166,1220.0,8386.0,2014-05-16,252700.0
3814700200,3.0,2.25,2450.0,6500.0,2.0,0.0,0.0,4,8,2450.0,0.0,1985,0.0,98030,47.3739,-122.17298,2200.0,6865.0,2014-11-20,329000.0
1202000200,3.0,2.0,1710.0,4697.0,1.5,0.0,0.0,5,6,1710.0,0.0,1941,0.0,98002,47.3048,-122.218,1030.0,4705.0,2014-11-03,233000.0
1794500383,3.0,1.75,2450.0,2691.0,2.0,0.0,0.0,3,8,1750.0,700.0,1915,,98119,47.6386,-122.36,1760.0,3573.0,2014-06-26,937000.0
3303700376,3.0,1.0,1400.0,1581.0,1.5,0.0,0.0,5,8,1400.0,0.0,1909,0.0,98112,47.6221,-122.314,1860.0,3861.0,2014-12-01,667000.0
5101402488,3.0,1.75,1520.0,6380.0,1.0,0.0,0.0,3,7,790.0,730.0,1948,,98115,47.695,-122.304,1520.0,6235.0,2014-06-24,438000.0
1873100390,4.0,2.5,2570.0,7173.0,2.0,0.0,0.0,3,8,2570.0,0.0,2005,0.0,98052,47.7073,-122.11,2630.0,6026.0,2015-03-02,719000.0
8562750320,3.0,2.5,2320.0,3980.0,2.0,0.0,0.0,3,8,2320.0,0.0,2003,0.0,98027,47.5391,-122.07,2580.0,3980.0,2014-11-10,580500.0
2426039314,2.0,1.5,1190.0,1265.0,3.0,0.0,0.0,3,7,1190.0,0.0,2005,0.0,98133,47.7274,-122.357,1390.0,1756.0,2014-12-01,280000.0
461000390,4.0,1.75,2330.0,5000.0,1.5,0.0,0.0,4,7,1510.0,820.0,1929,0.0,98117,47.6823,-122.368,1460.0,5000.0,2014-06-24,687500.0
7589200193,3.0,1.0,1090.0,3000.0,1.5,0.0,0.0,4,8,1090.0,0.0,1929,0.0,98117,47.6889,-122.375,1570.0,5080.0,2014-11-10,535000.0
7955080270,4.0,2.75,2060.0,6659.0,1.0,0.0,0.0,3,7,1280.0,780.0,1981,0.0,98058,47.4276,-122.157,2020.0,8720.0,2014-12-03,322500.0
9547205180,3.0,2.5,2300.0,3060.0,1.5,0.0,0.0,3,8,1510.0,790.0,1930,20020.0,98115,47.6827,-122.31,1590.0,3264.0,2014-06-13,696000.0
9435300030,4.0,1.0,1660.0,34848.0,1.0,0.0,0.0,1,5,930.0,730.0,1933,0.0,98052,47.6621,-122.132,2160.0,11467.0,2014-05-28,550000.0
2768000400,4.0,2.0,2360.0,6000.0,2.0,0.0,0.0,4,8,2360.0,0.0,1904,0.0,98107,47.6702,-122.362,1730.0,4700.0,2014-12-30,640000.0
7895500070,4.0,1.0,1220.0,8075.0,1.0,0.0,0.0,2,7,890.0,330.0,1969,0.0,98001,47.3341,-122.282,1290.0,7800.0,2015-02-13,240000.0
2078500320,4.0,2.5,2620.0,7553.0,2.0,0.0,0.0,3,8,2620.0,0.0,1996,0.0,98056,47.5301,-122.18,2620.0,11884.0,2014-06-20,605000.0
5547700270,4.0,2.5,2570.0,5520.0,2.0,,0.0,3,9,2570.0,0.0,2000,,98074,47.6145,-122.027,2470.0,5669.0,2014-07-15,625000.0
7766200013,4.0,2.25,4220.0,24186.0,1.0,0.0,0.0,3,8,2600.0,1620.0,1984,0.0,98166,47.445,-122.347,2410.0,30617.0,2014-08-11,775000.0
7203220400,5.0,2.75,3595.0,5639.0,2.0,0.0,0.0,3,9,3595.0,,2014,0.0,98053,47.6848,-122.016,3625.0,5639.0,2014-07-07,861990.0
9270200160,3.0,1.0,1570.0,2280.0,2.0,0.0,0.0,3,7,1570.0,0.0,1922,0.0,98119,47.6413,-122.364,1580.0,2640.0,2014-10-28,685000.0
1432701230,3.0,1.0,1280.0,9656.0,1.0,0.0,0.0,4,6,920.0,360.0,1959,0.0,98058,47.4485,-122.175,1340.0,8808.0,2014-07-29,309000.0
8035350320,3.0,2.5,3160.0,13603.0,2.0,0.0,0.0,3,8,3160.0,0.0,2003,,98019,47.7443,-121.977,3050.0,9232.0,2014-07-18,488000.0
8945200830,3.0,1.0,990.0,8528.0,1.0,0.0,0.0,3,6,990.0,0.0,1966,0.0,98023,47.3066,-122.371,1228.0,8840.0,2015-03-25,210490.0
4178300310,4.0,2.5,2290.0,13416.0,2.0,0.0,0.0,4,9,2290.0,0.0,1981,0.0,98007,47.6194,-122.151,2680.0,13685.0,2014-07-16,785000.0
9215400105,3.0,1.75,1250.0,5963.0,1.0,0.0,0.0,4,7,1250.0,0.0,1953,0.0,98115,47.6796,-122.301,970.0,5100.0,2015-04-28,450000.0
822039084,3.0,2.5,2753.0,65005.0,1.0,1.0,2.0,5,9,2165.0,588.0,1953,0.0,98070,47.4041,-122.451,2680.0,72513.0,2015-03-11,1350000.0
5245600105,3.0,1.0,1190.0,9199.0,1.0,0.0,0.0,3,7,1190.0,0.0,1955,0.0,98148,47.4258,-122.322,1190.0,9364.0,2014-09-16,228000.0
7231300125,5.0,2.5,3150.0,9134.0,1.0,0.0,0.0,4,8,1640.0,1510.0,1966,0.0,98056,47.4934,-122.189,1990.0,9133.0,2015-02-17,345000.0
7518505990,3.0,1.75,1410.0,4080.0,1.0,0.0,0.0,4,7,1000.0,410.0,1950,,98117,47.6808,-122.384,1410.0,4080.0,2014-12-31,600000.0
3626039271,2.0,1.75,1980.0,8550.0,1.0,0.0,0.0,3,7,990.0,990.0,1981,0.0,98117,47.6989,-122.369,1480.0,6738.0,2015-02-05,585000.0
4217401195,5.0,2.25,2730.0,6000.0,1.5,0.0,0.0,3,8,2130.0,600.0,1927,0.0,98105,47.6571,-122.281,2730.0,6000.0,2015-03-03,920000.0
9822700295,4.0,2.5,2830.0,5000.0,2.0,,0.0,3,9,2830.0,0.0,1995,0.0,98105,47.6597,-122.29,1950.0,5000.0,2014-05-12,885000.0
